Country,Arrivals_2025,Arrivals_2024,Arrivals_2019,Growth_2025_vs_2019,Country_Title,Region,Change_2025_vs_2024,Growth_2025_vs_2024,Recovered_vs_2019,Recovery_Ratio,Rank_2025,Share_2025,Top15,Market_Label
SINGAPORE,9344513,9099727,10163882,-8.1,Singapore,ASEAN,244786,2.6900367450583884,-819369,0.9193842470819712,1,35.65428838134258,True,Singapore
CHINA,3965140,3287362,3114257,27.3,China,East Asia,677778,20.617686765254327,850883,1.2732218310820205,2,15.129118556782654,True,China
INDONESIA,3755129,3651668,3623277,3.6,Indonesia,ASEAN,103461,2.833253187310558,131852,1.036390262185309,3,14.327814865808694,True,Indonesia
THAILAND,1720970,1639211,1884306,-8.7,Thailand,ASEAN,81759,4.98770445049479,-163336,0.9133176883160166,4,6.56641610703941,True,Thailand
INDIA,1244969,1133331,735309,69.3,India,South Asia,111638,9.850432045007151,509660,1.6931235711789194,5,4.750219059230983,True,India
BRUNEI,1029048,1142134,1216123,-15.4,Brunei,ASEAN,-113086,-9.901290041273613,-187075,0.8461709876385859,6,3.926365574133593,True,Brunei
SOUTH KOREA,463504,475815,673065,-31.1,South Korea,East Asia,-12311,-2.5873501255740172,-209561,0.6886467131703475,7,1.7685143443971678,True,South Korea
AUSTRALIA,420684,382628,368271,14.2,Australia,Oceania,38056,9.945952726930596,52413,1.1423218227881098,8,1.6051332641323013,True,Australia
PHILIPPINES,416595,400912,421908,-1.3,Philippines,ASEAN,15683,3.9118310252624022,-5313,0.9874072072584544,9,1.5895315537819268,True,Philippines
CHINESE TAIPEI,400067,385415,382916,4.5,Chinese Taipei,East Asia,14652,3.8016164394224505,17151,1.044790502355608,10,1.5264684408763285,True,Chinese Taipei
UNITED KINGDOM,376800,345438,346485,8.7,United Kingdom,Europe,31362,9.078908516144724,30315,1.0874929650634226,11,1.4376924578188168,True,United Kingdom
JAPAN,344030,307883,424694,-19,Japan,East Asia,36147,11.740498825852686,-80664,0.8100656001733012,12,1.3126574741597865,True,Japan
U.S.A,291765,271809,269928,8.1,U.S.A,North America,19956,7.341920245466493,21837,1.080899350938028,13,1.1132386941494348,True,U.S.A
VIETNAM,285865,330189,400346,-28.6,Vietnam,ASEAN,-44324,-13.423826959710949,-114481,0.7140448512037088,14,1.0907270553460087,True,Vietnam
BANGLADESH,252301,143919,179000,41,Bangladesh,South Asia,108382,75.30763832433523,73301,1.4095027932960893,15,0.9626625392785172,True,Bangladesh
FRANCE,199416,160637,141661,40.8,France,Europe,38779,24.140764581011844,57755,1.407698660887612,16,0.7608781294278056,False,Other markets
GERMANY,172852,155848,130221,32.7,Germany,Europe,17004,10.910630871105177,42631,1.3273742330346103,17,0.6595223373643793,False,Other markets
MYANMAR,170238,114551,46257,268,Myanmar,ASEAN,55687,48.61328142050265,123981,3.6802646085997797,18,0.6495485367148613,False,Other markets
PAKISTAN,129493,102570,105757,22.4,Pakistan,South Asia,26923,26.24841571609633,23736,1.224439044224023,19,0.4940846853511997,False,Other markets
RUSSIA,121734,112806,79984,52.2,Russia,Europe,8928,7.914472634434344,41750,1.5219793958791759,20,0.46447997255869383,False,Other markets
CANADA,97885,86882,87568,11.8,Canada,North America,11003,12.66430330793491,10317,1.1178170107801937,21,0.3734833498768442,False,Other markets
NETHERLANDS,88439,82964,82110,7.7,Netherlands,Europe,5475,6.599247866544533,6329,1.0770795274631593,22,0.3374418345993586,False,Other markets
SPAIN,79675,60527,43616,82.7,Spain,Europe,19148,31.63546846861731,36059,1.826737894350697,23,0.30400251214626917,False,Other markets
ITALY,78830,69781,54710,44.1,Italy,Europe,9049,12.967713274387016,24120,1.4408700420398464,24,0.30077838760577846,False,Other markets
SRI LANKA,70084,58015,26058,169,Sri Lanka,South Asia,12069,20.803240541239344,44026,2.689538721313992,25,0.2674077447286995,False,Other markets
CAMBODIA,65539,63964,97097,-32.5,Cambodia,ASEAN,1575,2.4623225564379903,-31558,0.6749848090054276,26,0.25006615178606006,False,Other markets
