State,Hotels,Rooms,Domestic_2025,Domestic_2024,Foreign_2025,Foreign_2024,Total_2025,Total_2024,Oct,Nov,Dec,AOR_Q4,AOR_Jan_Dec,Topo_State,Foreign_Share,Domestic_Share,Guest_Growth_2025_vs_2024,Foreign_Growth_2025_vs_2024,Domestic_Growth_2025_vs_2024,Guests_per_Room,Foreign_per_Room,Rooms_per_Hotel,AOR_Volatility,AOR_Range,Demand_Capacity_Segment,Rooms_Rank,Hotels_Rank,Total_2025_Rank,Guests_per_Room_Rank,AOR_Q4_Rank,Foreign_Share_Rank
Johor,553,35799,7382730,7082360,3250524,3221442,10633254,10303802,53.1,53.1,61.3,55.9,54.2,Johor,30.56941929535399,69.430580704646,3.1973828689642936,0.9027634208531365,4.2411004241524,297.0265649878488,90.79929606972262,64.73598553345388,3.8655170704864577,8.199999999999996,Moderate utilisation / high pressure,2,1,3,5,6,7
Kedah,330,18679,3121208,2876480,2109996,1945168,5231204,4821648,49.1,48.8,55.3,51.1,50.9,Kedah,40.334806289336065,59.665193710663935,8.494108238510979,8.473715380882263,8.50789854266325,280.05803308528294,112.9608651426736,56.6030303030303,2.995923155816175,6.5,Moderate utilisation / high pressure,10,10,9,7,8,2
Kelantan,224,6392,1399111,1398526,59329,58670,1458440,1457196,46.8,34.3,30,37.1,43.5,Kelantan,4.067976742272565,95.93202325772744,0.08536943554606768,1.123231634566224,0.04182975504209985,228.16645807259073,9.281758448060074,28.535714285714285,7.125696847014721,16.799999999999997,Spare capacity / lower pressure,13,12,13,14,16,15
Kuala Lumpur,479,66133,10353924,9781082,13383492,12129440,23737416,21910522,71.3,70.4,72.8,71.5,66.9,Kuala Lumpur,56.381419106443595,43.618580893556405,8.33797569952921,10.338910947249014,5.856632221261404,358.93451075862276,202.372370828482,138.06471816283926,0.9899494936611634,2.3999999999999915,High utilisation / high pressure,1,6,1,2,2,1
Labuan,50,2298,423944,399785,55107,51978,479051,451763,43.4,40.2,36.4,40,39.4,Labuan,11.503368117382076,88.49663188261793,6.040335308557809,6.019854553849702,6.042998111484921,208.46431679721496,23.980417754569192,45.96,2.861235164516658,7.0,Spare capacity / lower pressure,15,14,15,16,15,13
Melaka,357,20655,3484720,3481179,1654330,1539516,5139050,5020695,52.3,47.2,52.1,50.6,46.1,Melaka,32.19135832498225,67.80864167501775,2.35734295749892,7.4577984249595275,0.10171841206672028,248.80416364076495,80.09343984507383,57.857142857142854,2.3584363935078287,5.099999999999994,Spare capacity / lower pressure,8,9,10,10,9,6
Negeri Sembilan,174,11527,2154435,2038374,497085,450707,2651520,2489081,46.8,47.1,50.4,48.1,44.2,Negeri Sembilan,18.747171433743663,81.25282856625634,6.526063233779866,10.290055401846443,5.693803001804376,230.02689338075822,43.1235360458055,66.24712643678161,1.630950643030009,3.6000000000000014,Spare capacity / lower pressure,11,13,12,13,12,10
Pahang,505,34401,10011366,9866683,2953226,2956196,12964592,12822879,78.6,75.6,75.5,76.6,76.3,Pahang,22.77916651754255,77.22083348245745,1.1051574299344225,-0.10046695144706463,1.4663793293044902,376.866718990727,85.84709746809686,68.12079207920792,1.4383632673594264,3.0999999999999943,High utilisation / high pressure,4,4,2,1,1,9
Perak,486,19572,4291891,4232520,944578,961492,5236469,5194012,50.6,44.3,51.1,48.7,46.4,Perak,18.038453010988896,81.9615469890111,0.8174220621746775,-1.7591410016931985,1.4027340685927037,267.5489985693848,48.26170038830983,40.27160493827161,3.0944394574067156,6.800000000000004,Moderate utilisation / high pressure,9,5,8,9,10,11
Perlis,46,1553,324884,314877,8334,8429,333218,323306,39.7,40.9,46.9,42.5,41.7,Perlis,2.5010653686175415,97.49893463138247,3.065826183244358,-1.1270613358642767,3.178066356069187,214.56406954282033,5.366387636831938,33.76086956521739,3.149603149604723,7.199999999999996,Spare capacity / lower pressure,16,15,16,15,13,16
Pulau Pinang,384,28045,5293653,5064587,3472459,3179396,8766112,8243983,58.5,61,65.3,61.6,58.6,Penang,39.612304748102694,60.38769525189731,6.333455563894308,9.217568368331586,4.5228959439338245,312.57307898021037,123.81740060616866,73.03385416666667,2.8083209693100715,6.799999999999997,High utilisation / high pressure,6,8,5,3,3,3
Putrajaya,15,2656,566830,555827,222220,221593,789050,777420,55,53.1,60.9,56.4,56,Putrajaya,28.162980799695838,71.83701920030417,1.4959738622623453,0.28295117625556365,1.9795727807393249,297.082078313253,83.6671686746988,177.06666666666666,3.3209770985191813,7.799999999999997,Moderate utilisation / high pressure,14,16,14,4,5,8
Sabah,544,27254,4445738,4105912,2900293,2938211,7346031,7044123,55.8,47,56.1,53,54.1,Sabah,39.48108849527044,60.51891150472956,4.285955824451104,-1.2905131728116137,8.276504708332766,269.5395538269612,106.41714977617964,50.099264705882355,4.220847729491737,9.100000000000001,Moderate utilisation / high pressure,7,2,6,8,7,4
Sarawak,523,28236,5760526,5782026,1222481,1245889,6983007,7027915,49.4,47,49.5,48.6,47.3,Sarawak,17.50651259550506,82.49348740449494,-0.6389946378122069,-1.8788190601249366,-0.371841980648302,247.30864853378665,43.2951197053407,53.98852772466539,1.1556623882239807,2.5,Spare capacity / lower pressure,5,3,7,11,11,12
Selangor,462,35066,6296432,6089647,3614885,3432226,9911317,9521873,58.5,60,57.3,58.6,54.8,Selangor,36.47229727391426,63.52770272608574,4.089993638856559,5.3218814844943285,3.395681227499714,282.64749329835166,103.08803399304169,75.9004329004329,1.1045361017187272,2.700000000000003,Moderate utilisation / high pressure,3,7,4,6,4,5
Terengganu,258,11314,2414955,2439721,276786,278526,2691741,2718247,53.3,37.6,35,42.3,45.6,Terengganu,10.282787236959276,89.71721276304072,-0.9751137405835442,-0.6247172615841956,-1.0151160726984743,237.9124094042779,24.464026869365387,43.85271317829457,8.083865961833414,18.299999999999997,Spare capacity / lower pressure,12,11,11,12,14,14
